COUNTY,STNAME,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
69,California,San Benito ,62808,31448,31360,27468,27401,577,456,950,979,1138,1318,151,130,1164,1076,28509,28329,833,722,1471,1467,1561,1711,252,227,12268,12326,10318,10275,350,272,107,140,881,1064,64,57,548,518,10814,10726,483,411,271,307,1146,1309,108,102,19180,19034,17150,17126,227,184,843,839,257,254,87,73,616,558,17695,17603,350,311,1200,1160,415,402,144,125
71,California,San Bernardino ,2180085,1085607,1094478,837353,831623,99480,104974,22909,22309,82347,91179,5207,5109,38311,39284,870877,865898,114719,120724,35923,35993,97345,106300,8735,8751,490538,502739,298526,296492,86006,90763,4065,4197,75687,84231,3334,3250,22920,23806,318280,316961,95699,100923,9542,10268,86267,94939,5605,5639,595069,591739,538827,535131,13474,14211,18844,18112,6660,6948,1873,1859,15391,15478,552597,548937,19020,19801,26381,25725,11078,11361,3130,3112
73,California,San Diego ,3338330,1680017,1658313,1274179,1243209,99296,85222,22657,21434,197279,222713,9775,9672,76831,76063,1342287,1310481,122126,108157,38530,37650,242558,267152,18771,18706,1113178,1085119,768949,731916,85732,71381,7490,6855,186951,211962,7163,7044,56893,55961,819040,781084,102746,88372,15935,15592,223308,247388,13841,13761,566839,573194,505230,511293,13564,13841,15167,14579,10328,10751,2612,2628,19938,20102,523247,529397,19380,19785,22595,22058,19250,19764,4930,4945
75,California,San Francisco ,881549,449221,432328,250486,214800,25697,23318,3642,2789,147442,169728,2028,2003,19926,19690,267639,231740,31329,29020,7873,6997,160335,182425,3819,3794,379033,368207,192597,161772,23241,21098,971,719,144794,167180,1694,1724,15736,15714,206087,175250,27677,25643,3500,3338,155678,177929,3140,3190,70188,64121,57889,53028,2456,2220,2671,2070,2648,2548,334,279,4190,3976,61552,56490,3652,3377,4373,3659,4657,4496,679,604
77,California,San Joaquin ,762148,380193,381955,252915,250635,31504,31743,7675,7326,64171,68073,3244,3036,20684,21142,270441,268494,37769,38252,14018,13961,75586,79619,5556,5447,217298,224516,114506,117617,27098,27183,1653,1664,58545,62353,2415,2226,13081,13473,125479,128888,31207,31482,4424,4692,66622,70529,3951,3860,162895,157439,138409,133018,4406,4560,6022,5662,5626,5720,829,810,7603,7669,144962,139606,6562,6770,9594,9269,8964,9090,1605,1587
79,California,San Luis Obispo ,283111,143377,139734,126123,125299,4151,1575,2039,1922,5537,5762,289,232,5238,4944,131007,129869,5270,2662,3928,3804,8041,8064,711,630,109523,108728,96030,97913,3717,1186,726,676,5012,5247,196,179,3842,3527,99621,101197,4580,1992,1807,1726,7087,7114,515,479,33854,31006,30093,27386,434,389,1313,1246,525,515,93,53,1396,1417,31386,28672,690,670,2121,2078,954,950,196,151
81,California,San Mateo ,766573,379508,387065,230449,225601,11003,10216,3448,3136,110626,123957,5625,5881,18357,18274,246419,241464,14809,14091,6451,6202,123706,136920,8286,8601,287089,295506,150421,146126,9128,8314,532,535,107682,120946,4875,5292,14451,14293,162926,158464,12083,11301,2207,2275,118574,131626,6975,7438,92419,91559,80028,79475,1875,1902,2916,2601,2944,3011,750,589,3906,3981,83493,83000,2726,2790,4244,3927,5132,5294,1311,1163
83,California,Santa Barbara ,446499,223245,223254,190451,190727,6123,4774,4902,4662,12774,14098,643,514,8352,8479,198077,198503,8213,6907,7824,7711,16908,18252,1384,1243,118843,122121,96177,99380,4610,3437,991,888,11396,12708,428,333,5241,5375,100937,104287,6027,4879,2230,2260,14429,15745,900,813,104402,101133,94274,91347,1513,1337,3911,3774,1378,1390,215,181,3111,3104,97140,94216,2186,2028,5594,5451,2479,2507,484,430
85,California,Santa Clara ,1927852,976847,951005,516550,492727,28877,25753,11654,11012,374136,378104,4447,4409,41183,39000,553508,527649,37437,34029,19903,19157,402319,404538,8802,8635,732811,712743,304015,285531,24334,21264,1945,1825,368056,371763,3285,3309,31176,29051,331944,311498,30782,27387,6327,6138,390910,392819,6560,6454,244036,238262,212535,207196,4543,4489,9709,9187,6080,6341,1162,1100,10007,9949,221564,216151,6655,6642,13576,13019,11409,11719,2242,2181
87,California,Santa Cruz ,273213,135176,138037,117723,119956,2190,1834,2548,2460,6754,7674,293,253,5668,5860,122936,125352,3494,3239,4527,4511,9608,10629,825,800,88643,91648,76417,78677,1542,1176,518,505,6016,6934,181,155,3969,4201,80063,82556,2491,2203,1534,1636,8301,9312,572,565,46533,46389,41306,41279,648,658,2030,1955,738,740,112,98,1699,1659,42873,42796,1003,1036,2993,2875,1307,1317,253,235
89,California,Shasta ,180080,88473,91607,77262,80506,1272,971,2797,2930,2826,2828,228,182,4088,4190,81121,84460,2255,1967,4929,5160,4005,4037,516,484,78926,82219,69563,72993,1128,831,2009,2130,2709,2716,178,118,3339,3431,72724,76240,1983,1700,3580,3794,3786,3814,426,373,9547,9388,7699,7513,144,140,788,800,117,112,50,64,749,759,8397,8220,272,267,1349,1366,219,223,90,111
91,California,Sierra ,3005,1509,1496,1380,1403,16,5,46,31,9,17,2,2,56,38,1429,1436,42,24,68,36,16,33,10,5,1313,1311,1222,1245,11,1,28,26,7,10,2,1,43,28,1259,1270,29,16,46,28,12,21,10,4,196,185,158,158,5,4,18,5,2,7,0,1,13,10,170,166,13,8,22,8,4,12,0,1
93,California,Siskiyou ,43539,21654,21885,18587,18793,401,265,1074,1156,311,382,91,64,1190,1225,19672,19889,665,531,1807,1927,568,669,183,144,18737,19058,16216,16520,371,241,827,875,295,364,60,35,968,1023,17099,17426,589,472,1396,1495,528,628,140,108,2917,2827,2371,2273,30,24,247,281,16,18,31,29,222,202,2573,2463,76,59,411,432,40,41,43,36
95,California,Solano ,447643,222764,224879,135220,131570,33187,32936,2948,2814,33080,39238,2350,2299,15979,16022,148564,144846,39612,39430,6538,6558,41736,47866,4749,4757,160253,165287,83518,82871,30849,30415,1001,939,31201,37249,1915,1889,11769,11924,93206,92610,35647,35310,2963,3097,38066,44117,3692,3761,62511,59592,51702,48699,2338,2521,1947,1875,1879,1989,435,410,4210,4098,55358,52236,3965,4120,3575,3461,3670,3749,1057,996
97,California,Sonoma ,494336,241221,253115,209590,219252,5555,4689,5412,5384,10082,12508,863,1185,9719,10097,218614,228585,8096,7351,9154,9364,14311,16871,1873,2231,172168,187214,149284,161718,4399,3622,1671,1823,9314,11776,636,976,6864,7299,155653,168454,6298,5654,3708,4141,12725,15315,1386,1774,69053,65901,60306,57534,1156,1067,3741,3561,768,732,227,209,2855,2798,62961,60131,1798,1697,5446,5223,1586,1556,487,457
99,California,Stanislaus ,550660,272956,277704,227339,231159,9902,9459,5602,5375,16257,17567,2593,2529,11263,11615,237305,241391,12950,12646,9712,9715,21289,22697,4175,4146,140714,147878,108035,114308,7703,7158,1399,1373,14397,15645,1961,1971,7219,7423,114303,120712,9779,9316,3289,3435,18158,19445,3073,3108,132242,129826,119304,116851,2199,2301,4203,4002,1860,1922,632,558,4044,4192,123002,120679,3171,3330,6423,6280,3131,3252,1102,1038
101,California,Sutter ,96971,48303,48668,34970,35525,1444,1219,1195,1123,8107,8347,203,211,2384,2243,37095,37530,2059,1808,2111,1997,9179,9339,471,418,32425,33639,21162,22411,1144,964,449,440,7806,8043,152,155,1712,1626,22694,23855,1612,1419,956,958,8692,8863,357,313,15878,15029,13808,13114,300,255,746,683,301,304,51,56,672,617,14401,13675,447,389,1155,1039,487,476,114,105
103,California,Tehama ,65084,32366,32718,29204,29533,412,284,1055,1099,451,487,87,64,1157,1251,30255,30666,678,553,1723,1851,725,781,181,155,23672,24636,21454,22378,317,204,588,638,389,428,61,41,863,947,22236,23226,533,423,1038,1163,628,686,137,114,8694,8082,7750,7155,95,80,467,461,62,59,26,23,294,304,8019,7440,145,130,685,688,97,95,44,41
105,California,Trinity ,12285,6314,5971,5454,5233,65,28,339,297,89,95,16,13,351,305,5774,5514,136,93,562,495,150,146,50,34,5854,5524,5142,4918,52,18,267,235,83,90,16,11,294,252,5408,5146,106,69,459,405,136,131,45,30,460,447,312,315,13,10,72,62,6,5,0,2,57,53,366,368,30,24,103,90,14,15,5,4
107,California,Tulare ,466195,232989,233206,205616,205414,5171,5005,6504,6430,8911,9632,541,528,6246,6197,211380,211119,6773,6572,9384,9323,11244,11932,1132,1096,78021,82350,62661,66294,3038,2699,1520,1675,7263,8074,247,210,3292,3398,65683,69391,4006,3674,2568,2847,8796,9620,596,545,154968,150856,142955,139120,2133,2306,4984,4755,1648,1558,294,318,2954,2799,145697,141728,2767,2898,6816,6476,2448,2312,536,551
109,California,Tuolumne ,54478,28213,26265,25227,23981,907,190,621,621,352,457,87,63,1019,953,26145,24847,1109,377,1206,1180,634,720,177,125,24235,23337,21816,21609,861,146,413,400,303,411,70,46,772,725,22516,22257,1019,294,820,795,545,643,143,100,3978,2928,3411,2372,46,44,208,221,49,46,17,17,247,228,3629,2590,90,83,386,385,89,77,34,25
